MSE,rate,Algorithm,SNR,nAntennas,nCoherence
1.3507818585901414,2.1946081936016144,CircMMSE,-10,64,1
1.464035648043054,2.1007678510539076,FastMMSE,-10,64,1
1.3773588292116805,2.163555708010989,CircSoftmax,-10,64,1
3.114062066037181,1.8131753587404889,CircML,-10,64,1
2.1776100229511726,1.8415832910553829,GenieOMP,-10,64,1
1.0028597180549423,2.772679826391406,GenieMMSE,-10,64,1
1.3742134333802256,2.177728664790631,ToepReLU,-10,64,1
1.3330453579388886,2.2191020433325086,ToepMMSE,-10,64,1
1.3872191513497638,2.1533834064774258,CircReLU,-10,64,1
1.3637043115320502,2.180802040833345,ToepSoftmax,-10,64,1
1.1983631237817807,2.49574317828846,CircMMSE,-10,64,5
1.37793047993304,2.2966593022634023,FastMMSE,-10,64,5
1.2379846814843944,2.443516358108806,CircSoftmax,-10,64,5
1.7062915539115187,2.147636485033484,CircML,-10,64,5
1.7625909545234968,2.028252781073156,GenieOMP,-10,64,5
0.9974466644385063,2.772377646803843,GenieMMSE,-10,64,5
1.1803917636215961,2.4976588437077343,ToepReLU,-10,64,5
1.1793589104152933,2.5207666706972836,ToepMMSE,-10,64,5
1.2079267388655206,2.4685999289907086,CircReLU,-10,64,5
1.2204790007444561,2.4625251426102506,ToepSoftmax,-10,64,5
1.1856730383785161,2.540084361240894,CircMMSE,-10,64,10
1.3765644172470206,2.318094540901718,FastMMSE,-10,64,10
1.2157409498835499,2.483502241239984,CircSoftmax,-10,64,10
1.4260607446426716,2.323679333216609,CircML,-10,64,10
1.693723300686305,2.1788306576171936,GenieOMP,-10,64,10
1.00053895944049,2.776933325366322,GenieMMSE,-10,64,10
1.1354061310085264,2.5757979103381823,ToepReLU,-10,64,10
1.1668017092856446,2.564788144070582,ToepMMSE,-10,64,10
1.7369374898249916,1.6629023826008993,CircReLU,-10,64,10
1.1961961835421937,2.5047986901228776,ToepSoftmax,-10,64,10
