MSE,rate,Algorithm,SNR,nAntennas,nCoherence
0.4334633158630512,2.2505655981057058,CircMMSE,0,8,1
0.488576539667116,2.1600789476950064,FastMMSE,0,8,1
0.4259234370865979,2.250781694796212,CircSoftmax,0,8,1
0.5124712119477186,2.1800848092344105,CircML,0,8,1
0.4425388986985848,1.941229354248,GenieOMP,0,8,1
0.2521774595541999,2.6213541012431083,GenieMMSE,0,8,1
0.3990360060383744,2.286718071612909,ToepReLU,0,8,1
0.3930420133192576,2.2983124606843894,ToepMMSE,0,8,1
0.4197848392888111,2.257545358028531,CircReLU,0,8,1
0.40544828302121233,2.276538798864693,ToepSoftmax,0,8,1
0.36593794853878486,3.168907688038408,CircMMSE,0,16,1
0.4222760290426454,3.054082059888645,FastMMSE,0,16,1
0.3761092037204612,3.1425434532522467,CircSoftmax,0,16,1
0.4582067651561392,3.070374949821461,CircML,0,16,1
0.3752227851067736,2.9042116706851777,GenieOMP,0,16,1
0.20634771534977656,3.5415657965261675,GenieMMSE,0,16,1
0.33127735611945086,3.21706365663023,ToepReLU,0,16,1
0.33053436036704764,3.225059484046687,ToepMMSE,0,16,1
0.35295213838420203,3.18127171901166,CircReLU,0,16,1
0.36006522763438886,3.171349792762297,ToepSoftmax,0,16,1
0.301724538759997,4.278637537529395,CircMMSE,0,32,1
0.4001208238062809,4.064004623463307,FastMMSE,0,32,1
0.305255490965228,4.263312899356525,CircSoftmax,0,32,1
0.4195001139445716,4.118170714356416,CircML,0,32,1
0.3405042692147388,4.034141530715263,GenieOMP,0,32,1
0.18098809474108896,4.561302795953903,GenieMMSE,0,32,1
0.2717943934292046,4.330675857492221,ToepReLU,0,32,1
0.27791611784142145,4.3228372423932475,ToepMMSE,0,32,1
0.2895734512607934,4.295161605337197,CircReLU,0,32,1
0.2905692620733909,4.290819991330314,ToepSoftmax,0,32,1
0.2553877841172183,5.447432803139789,CircMMSE,0,64,1
0.404057315653381,5.103112383691121,FastMMSE,0,64,1
0.25763279932553235,5.4396617627243495,CircSoftmax,0,64,1
0.39211394983708936,5.237924413287965,CircML,0,64,1
0.33541501225442216,5.173279443192168,GenieOMP,0,64,1
0.16882730357621975,5.62559532711964,GenieMMSE,0,64,1
0.22757674575140477,5.496365544774736,ToepReLU,0,64,1
0.2405218396839249,5.474544246530857,ToepMMSE,0,64,1
0.23995407203567004,5.472349708771046,CircReLU,0,64,1
0.24641703639157791,5.46070180474204,ToepSoftmax,0,64,1
0.2342907961332701,6.10524256751623,CircMMSE,0,96,1
0.4105179434658756,5.690405641631591,FastMMSE,0,96,1
0.2360023153227996,6.100861654970765,CircSoftmax,0,96,1
0.3842761184751361,5.874505482987592,CircML,0,96,1
0.3402052331016514,5.8095170752162675,GenieOMP,0,96,1
0.16369095419336485,6.24270691855582,GenieMMSE,0,96,1
0.20924936422792775,6.150438231326566,ToepReLU,0,96,1
0.2251496165096533,6.121272540009067,ToepMMSE,0,96,1
0.21832568049966375,6.132250231549104,CircReLU,0,96,1
0.22705205579736976,6.11750548793598,ToepSoftmax,0,96,1
0.22353061878575867,6.551053681212356,CircMMSE,0,128,1
0.41838075023703863,6.092092877092232,FastMMSE,0,128,1
0.22463321730390456,6.549734277673283,CircSoftmax,0,128,1
0.3770745350314945,6.316230023054951,CircML,0,128,1
0.3431187535201126,6.246000427482746,GenieOMP,0,128,1
0.16129391236351484,6.669200253971544,GenieMMSE,0,128,1
0.19795073837632016,6.597360298498317,ToepReLU,0,128,1
0.21530848836205177,6.565479343118847,ToepMMSE,0,128,1
0.20542516769014285,6.582703478081224,CircReLU,0,128,1
0.21902316970125077,6.561497968346506,ToepSoftmax,0,128,1
0.42980652330801944,2.2488957651359973,CircMMSE,0,8,1
0.3905190017020919,2.2979008352147163,ToepMMSE,0,8,1
